Country Name;Country Code;Indicator Name;Indicator Code;2003;2004;2005;2006;2007;2008;2009;2010
East Asia & Pacific (developing only);EAP;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;19,37272984;26,85908499;34,44428523;38,19705143;54,86142043;43,7190783;54,43347958;64,10967563
East Asia & Pacific (all income levels);EAS;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;83,62557645;83,97766302;87,8822041;91,85392391;105,9631468;98,64138476;113,246255;119,4005282
Europe & Central Asia (developing only);ECA;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;134,7344915;137,4885911;154,2869988;158,0653145;166,2636492;178,2967643;192,8143675;199,4013519
Europe & Central Asia (all income levels);ECS;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;;355,5713169;385,5192858;397,1328084;398,9123806;415,3512848;417,8229413;452,5905762
Latin America & Caribbean (developing only);LAC;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;;147,655195;153,7218343;164,3284033;176,5636091;183,1430571;;
Latin America & Caribbean (all income levels);LCN;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;;151,3079367;157,3599883;168,5655656;179,9085876;186,3036186;;
North America;NAC;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;774,9341129;810;816;795,1641865;798,0259028;794,2635806;782,6849384;797
High income: nonOECD;NOC;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;;228,4883242;233,3776501;249,5345834;257,4143665;280,7569525;285,1245904;
High income: OECD;OEC;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;604,5222586;606,4321435;616,222356;620,2594464;626,409101;628,9849513;627,0871276;629,2056874
OECD members;OED;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;530,5090775;534,5577223;545,7064803;553,9530844;560,0447763;563,7702539;563,1251363;563,0568658
Upper middle income;UMC;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;56,55964092;63,14338685;72,42667519;76,81166653;87,6702582;89,61448677;89,16007479;98,39157264
World;WLD;Motor vehicles (per 1,000 people);IS.VEH.NVEH.P3;;147,6736442;155,664129;165,2193926;193,9413787;172,6251079;176,0166845;
